,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
31,OnePlus 10 Pro,True,True,True,True,"2022, January 11","Available. Released 2022, January 13",163 x 73.9 x 8.6 mm (6.42 x 2.91 x 0.34 in),201 g (7.09 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 5), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IP68 dust/water resistant - T-Mobile only (not for use underwater, liquid damage is not covered under warranty)","LTPO2 Fluid AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 1300 nits (peak)","6.7 inches, 108.4 cm2 (~90.0% screen-to-body ratio)","1440 x 3216 pixels, 20:9 ratio (~525 ppi density)",Corning Gorilla Glass Victus,Always-on display,"Android 12, upgradable to Android 14, OxygenOS 14 (International), ColorOS (China)",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","48 MP, f/1.8, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, Laser AF, OIS
8 MP, f/2.4, 77mm (telephoto), 1.0µm, PDAF, OIS, 3.3x optical zoom
50 MP, f/2.2, 14mm, 150˚ (ultrawide), 1/2.76"", 0.64µm","Hasselblad Color Calibration, Dual-LED dual-tone flash, HDR, panorama","8K@24fps, 4K@30/60/120fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","32 MP, f/2.2, (wide), 1/2.74"", 0.8µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum, barometer","Li-Po 5000 mAh, non-removable","80W wired, PD, 1-100% in 32 min (International)
65W wired, PD, 1-58% in 15 min (North America)
50W wireless
Reverse wireless",,"Volcanic Black, Emerald Forest, Panda White (Extreme Edition)","NE2210, NE2211, NE2213, NE2215, NE2217",1.16 W/kg (head)     0.70 W/kg (body)     ,,"$ 229.99 / C$ 999.00 / £ 259.00 / € 368.62 / ₹ 32,990","
AnTuTu: 886248 (v9)
GeekBench: 3447 (v5.1)
GFXBench: 48fps (ES 3.1 onscreen)",Endurance rating 107h,"6,313,064 hits",4.3
32,OnePlus Nord CE 2 5G,True,True,True,True,"2022, February 17","Available. Released 2022, February 22",160.6 x 73.2 x 7.8 mm (6.32 x 2.88 x 0.31 in),173 g (6.10 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 90Hz, HDR10+","6.43 inches, 99.8 cm2 (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Corning Gorilla Glass 5,,"Android 11, upgradable to Android 13, OxygenOS 13",Mediatek Dimensity 900 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide)
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, 27mm (wide), 1.0µm",HDR,"1080p@30/60fps, gyro-EIS",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable",65W wired,,"Gray Mirror, Bahama Blue",IV2201,,,"$ 204.99 / C$ 745.00 / € 146.50 / ₹ 13,490","
AnTuTu: 436640 (v9)
GeekBench: 2157 (v5)
GFXBench: 19fps (ES 3.1 onscreen)",,"3,218,982 hits",
33,OnePlus 9RT 5G,True,True,True,True,"2021, October 13","Available. Released 2021, October 19",162.2 x 74.6 x 8.3 mm (6.39 x 2.94 x 0.33 in),198.5 g (7.02 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 120Hz, HDR10+","6.62 inches, 106.3 cm2 (~87.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~397 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 11, upgradable to Android 13, OxygenOS 13",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56”, 1.0µm, PDAF, OIS
16 MP, f/2.2, 14mm, 123˚ (ultrawide), 1/3.6"", 1.0µm
2 MP, f/2.4, (macro)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","65W wired, 100% in 29 min (advertised)",,"Hacker Black, Nano Silver, Blue","MT2110, MT2111",,,"$ 439.99 / ₹ 22,790","
AnTuTu: 670289 (v8)
GeekBench: 3325 (v5)
GFXBench: 43fps (ES 3.1 onscreen)",,"2,583,689 hits",
34,OnePlus Nord 2 5G,True,True,True,True,"2021, July 22","Available. Released 2021, July 28",159.1 x 73.3 x 8.3 mm (6.26 x 2.89 x 0.33 in),189 g (6.67 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.43 inches, 99.8 cm2 (~85.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Corning Gorilla Glass 5,,"Android 11, upgradable to Android 13, OxygenOS 13",Mediatek Dimensity 1200 (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.3, 120˚ (ultrawide)
2 MP, f/2.4, (depth)","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm",Auto HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, SBAS, NavIC",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","65W wired, PD, 1-100% in 30 min (advertised)",,"Gray Sierra, Blue Haze, Green Wood, Pac-Man Edition","DN2101, DN2103",,,"$ 185.00 / £ 148.47 / € 166.99 / ₹ 19,999","
AnTuTu: 512164 (v8) | 598022 (v9)
GeekBench: 2792 (v5.1)
GFXBench: 38fps (ES 3.1 onscreen)",Endurance rating 102h,"5,394,245 hits",4.1
35,OnePlus Nord N200 5G,True,True,True,True,"2021, June 21","Available. Released 2021, June 25",163.1 x 74.9 x 8.3 mm (6.42 x 2.95 x 0.33 in),189 g (6.67 oz),,Nano-SIM,,"IPS LCD, 90Hz","6.49 inches, 102.2 cm2 (~83.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,,"Android 11, OxygenOS 11",Qualcomm SM4350 Snapdragon 480 5G (8 nm),Octa-core (2x2.0 GHz Kryo 460 & 6x1.8 GHz Kryo 460),Adreno 619,microSDXC,64GB 4GB RAM,"13 MP, f/2.2, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.1",HDR,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS (L1+L5), GLONASS, BDS, GALILEO",Yes,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 5000 mAh, non-removable",18W wired,,Blue Quantum,"DE2118, DE2117",,,$ 150.08,,,"1,744,442 hits",
36,OnePlus Nord CE 5G,True,True,True,True,"2021, June 10","Available. Released 2021, June 11",159.2 x 73.5 x 7.9 mm (6.27 x 2.89 x 0.31 in),170 g (6.00 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz","6.43 inches, 99.3 cm2 (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~410 ppi density)",,,"Android 11, upgradable to Android 13, OxygenOS 13",Qualcomm SM7225 Snapdragon 750G 5G (8 nm),Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),Adreno 619,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, 26mm (wide), 0.7µm, PDAF
8 MP, f/2.3, 119˚ (ultrawide)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.5, (wide), 1/3.0"", 1.0µm",HDR,1080p@30/60fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, NavIC",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","30W wired, 70% in 30 min (advertised)",,"Blue Void, Charkoal Ink, Silver Ray","EB2101, EB2103",,,"C$ 699.00 / £ 239.00 / € 189.00 / ₹ 18,290","
AnTuTu: 318672 (v8) | 391770 (v9)
GeekBench: 1812 (v5.1)
GFXBench: 17fps (ES 3.1 onscreen)",Endurance rating 117h,"3,371,661 hits",3.9
37,OnePlus 9 Pro,True,True,True,True,"2021, March 23","Available. Released 2021, March 30",163.2 x 73.6 x 8.7 mm (6.43 x 2.90 x 0.34 in),197 g (6.95 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water resistant (up to 1.5m for 30 min),"LTPO Fluid2 AMOLED, 1B colors, 120Hz, HDR10+, 1300 nits (peak)","6.7 inches, 108.4 cm2 (~90.3% screen-to-body ratio)","1440 x 3216 pixels, 20:9 ratio (~525 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 11, upgradable to Android 14, OxygenOS 14",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55,Adreno 660,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.8, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, Laser AF, OIS
8 MP, f/2.4, 77mm (telephoto), 1.0µm, PDAF, OIS, 3.3x optical zoom
50 MP, f/2.2, 14mm (ultrawide), 1/1.56"", 1.0µm, AF
2 MP, f/2.4, (monochrome)","Hasselblad Color Calibration, dual-LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.2, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4500 mAh, non-removable","65W wired, PD, 1-100% in 29 min (advertised)
50W wireless, 1-100% in 43 min (advertised)",,"Morning Mist, Forest Green, Stellar Black","LE2121, LE2125, LE2123, LE2120, LE2127",,,"$ 550.00 / C$ 949.00 / £ 350.00 / € 178.18 / ₹ 28,999",,Endurance rating 86h,"5,878,042 hits",4.4
38,OnePlus 9,True,True,True,True,"2021, March 23","Available. Released 2021, March 26",160 x 74.2 x 8.7 mm (EU/NA)160 x 73.9 x 8.1 mm (IN/CN),192 g (EU/NA)183 g (IN/CN) (6.46 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",IP68 (T-Mobile version only),"Fluid AMOLED, 120Hz, HDR10+, 1100 nits (peak)","6.55 inches, 103.6 cm2 (~87.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 11, upgradable to Android 13, OxygenOS 13",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,"128GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.8, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF
50 MP, f/2.2, 14mm (ultrawide), 1/1.56"", 1.0µm, AF
2 MP, f/2.4, (monochrome)","Hasselblad Color Calibration, dual-LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.2, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4500 mAh, non-removable","65W wired, PD, 1-100% in 29 min (advertised)
15W wireless (EU/NA)",,"Winter Mist, Arctic Sky, Astral Black","LE2113, LE2111, LE2110, LE2117, LE2115",,,"$ 191.06 / £ 249.00 / € 132.99 / ₹ 22,499",,Endurance rating 87h,"4,243,375 hits",4.3
39,OnePlus 9R,True,True,True,True,"2021, March 23","Available. Released 2021, April 14",161 x 74.1 x 8.4 mm (6.34 x 2.92 x 0.33 in),189 g (6.67 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 120Hz, HDR10+","6.55 inches, 103.6 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 10, upgradable to Android 13, OxygenOS 13",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
16 MP, f/2.2, 14mm, 123˚ (ultrawide), 1/3.6"", 1.0µm
5 MP, f/2.4, (macro)
2 MP, f/2.4, (monochrome)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","65W wired, 1-100% in 39 min (advertised)",,"Carbon Black, Lake Blue","LE2101, LE2100",1.17 W/kg (head)     0.85 W/kg (body)     ,,"$ 495.00 / ₹ 19,790",,,"3,356,415 hits",
40,OnePlus Watch,True,True,True,False,"2021, March 23","Available. Released 2021, April 14",46.4 x 46.4 x 10.9 mm (1.83 x 1.83 x 0.43 in),45 g (1.59 oz),"Glass front, stainless steel frame, plastic back",No,"IP68 dust/water resistant (up to 1.5m for 30 min)
Waterproof (5ATM)
Compatible with standard 22mm straps",AMOLED,1.39 inches,454 x 454 pixels (~326 ppi density),,Always-on display,Proprietary OS,,,,No,4GB 1GB RAM,No,,,,,,Yes,No,No,"5.0, A2DP, LE","GPS, GLONASS, BDS, GALILEO",No,No,No,"Accelerometer, gyro, barometer, compass, heart rate, SpO2","Li-Ion 402 mAh, non-removable",,,"Midnight Black, Moonlight Silver, Cobalt, Harry Potter Edition",,,,About 190 EUR,,,"391,087 hits",
41,OnePlus Nord N10 5G,True,True,True,True,"2020, October 26","Available. Released 2020, November 21",163 x 74.7 x 9 mm (6.42 x 2.94 x 0.35 in),190 g (6.70 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 90Hz","6.49 inches, 101.7 cm2 (~83.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~406 ppi density)",Corning Gorilla Glass 3,,"Android 10, OxygenOS 10.5",Qualcomm SM6350 Snapdragon 690 5G (8 nm),Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver),Adreno 619L,microSDXC,128GB 6GB RAM,"64 MP, f/1.8, (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.3, 119˚ (ultrawide)
2 MP, f/2.4, (depth)
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps; gyro-EIS","16 MP, f/2.1",HDR,"1080p@30/60fps, gyro-EIS","Yes, with dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS (L1+L5), GLONASS, GALILEO, BDS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4300 mAh, non-removable",30W wired,,Midnight Ice,"BE2029, BE2025, BE2026, BE2028",,,$ 128.00 / £ 228.18 / € 174.69,"
AnTuTu: 279579 (v8)
GeekBench: 1848 (v5.1)
GFXBench: 13fps (ES 3.1 onscreen)",Endurance rating 99h,"3,890,389 hits",3.5
42,OnePlus Nord N100,True,True,True,False,"2020, October 26","Available. Released 2020, November 11",164.9 x 75.1 x 8.5 mm (6.49 x 2.96 x 0.33 in),188 g (6.63 oz),"Glass front (Gorilla Glass 3), plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 90Hz","6.52 inches, 102.6 cm2 (~82.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Corning Gorilla Glass 3,,"Android 10, OxygenOS 10.5.9",Qualcomm SM4250 Snapdragon 460 (11 nm),Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,microSDXC,64GB 4GB RAM,"13 MP, f/2.2, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","8 MP, f/2.0",HDR,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",,FM radio,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",18W wired,,Midnight Frost,"BE2013, BE2015, BE2011, BE2012",,,$ 81.00 / £ 167.27,,,"2,092,412 hits",
43,OnePlus 8T,True,True,True,True,"2020, October 14","Available. Released 2020, October 16",160.7 x 74.1 x 8.4 mm (6.33 x 2.92 x 0.33 in),188 g (6.63 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 120Hz, HDR10+","6.55 inches, 103.6 cm2 (~87.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 11, upgradable to Android 14, OxygenOS 14",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,No,"128GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
16 MP, f/2.2, 14mm, 123˚ (ultrawide), 1/3.6"", 1.0µm
5 MP, f/2.4, (macro)
2 MP, f/2.4, (monochrome)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer (market dependant)","Li-Po 4500 mAh, non-removable","65W wired, 100% in 39 min (advertised)",,"Aquamarine Green, Lunar Silver, Cyberpunk 2077 Edition","KB2001, KB2000, KB2003, KB2005",,,"$ 170.94 / C$ 799.00 / £ 199.00 / € 195.99 / ₹ 22,000","
AnTuTu: 586000 (v8)
GeekBench: 3126 (v5.1)
GFXBench: 46fps (ES 3.1 onscreen)",Endurance rating 104h,"5,304,492 hits",4.2
44,OnePlus 8T+ 5G,True,True,True,True,"2020, October 14","Available. Released 2020, October 16",160.7 x 74.1 x 8.4 mm (6.33 x 2.92 x 0.33 in),-,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM,"IP68 dust/water resistant (not for use underwater, liquid damage is not covered under warranty)","Fluid AMOLED, 120Hz, HDR10+","6.55 inches, 103.6 cm2 (~87.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 11, OxygenOS 11",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,No,256GB 12GB RAM,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
16 MP, f/2.2, 14mm, 123˚ (ultrawide), 1/3.6"", 1.0µm
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06"", 1.0µm",Auto-HDR,"1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer (market dependant)","Li-Po 4500 mAh, non-removable","65W wired, 100% in 39 min (advertised)",,"Aquamarine Green, Lunar Silver",KB2007,,,About 640 EUR,,,"939,969 hits",
45,OnePlus Nord,True,True,True,True,"2020, July 21","Available. Released 2020, August 04",158.3 x 73.3 x 8.2 mm (6.23 x 2.89 x 0.32 in),184 g (6.49 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED, 90Hz, HDR10+","6.44 inches, 100.6 cm2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~408 ppi density)",Corning Gorilla Glass 5,,"Android 10, upgradable to Android 12, OxygenOS 12",Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,No,"64GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
8 MP, f/2.3, 119˚ (ultrawide)
5 MP, f/2.4, (depth)
2 MP, f/2.4, (macro)","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/240fps, gyro-EIS","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm
8 MP, f/2.5, 105˚ (ultrawide), 1/4.0"", 1.12µm",HDR,"4K@30/60fps, 1080p@30/60fps",Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a), NavIC",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4115 mAh, non-removable","30W wired, 70% in 30 min",,"Blue Marble, Gray Onyx (Gray Ash)","AC2001, AC2003",,,"$ 289.99 / C$ 699.00 / £ 114.99 / € 140.99 / ₹ 17,890","
AnTuTu: 315641 (v8)
GeekBench: 7844 (v4.4), 1953 (v5.1)
GFXBench: 19fps (ES 3.1 onscreen)",Endurance rating 100h,"8,414,444 hits",3.8
