,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
198,vivo Y76 5G,TRUE,TRUE,TRUE,TRUE,"2021, November 23","Available. Released 2021, November 23",163.8 x 75 x 7.8 mm (6.45 x 2.95 x 0.31 in),175 g (6.17 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 460 nits (typ)","6.58 inches, 104.3 cm2 (~84.9% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",,,"Android 11, Funtouch 12",Mediatek Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 26mm (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes (market/region dependent),FM radio,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","4100 mAh, non-removable","44W wired, 70% in 32 min (advertised)",,"Cosmic Aurora, Midnight Space",V2124,,,€ 201.11,,,"630,738 hits",
199,vivo Y54s,TRUE,TRUE,TRUE,TRUE,"2021, November 18",Cancelled,164.2 x 75.4 x 8.5 mm (6.46 x 2.97 x 0.33 in),188.4 g (6.63 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.51 inches, 102.3 cm2 (~82.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,"Android 11, OriginOS 1.0",Mediatek Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),128GB 6GB RAM,"13 MP, f/2.2, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, Panorama",1080p@30fps,"8 MP, f/2.0",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX","GPS, GLONASS, GALILEO, BDS, QZSS",No,Unspecified,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable",18W wired,,"Blue, Black",V2045A,,,About 240 EUR,,,"86,058 hits",
200,vivo V23e,TRUE,TRUE,TRUE,FALSE,"2021, November 09","Available. Released 2021, November 09",160.9 x 74.3 x 7.4 mm (6.33 x 2.93 x 0.29 in),172 g (6.07 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,AMOLED,"6.44 inches, 100.1 cm2 (~83.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,,"Android 11, Funtouch 12",Mediatek MT6781 Helio G96 (12 nm),Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","50 MP, f/2.0, (wide), AF",HDR,"4K@30fps, 1080p@30fps",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",No,No,"USB Type-C, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","4050 mAh, non-removable","44W wired, 69% in 30 min (advertised)",,"Black, Aurora",,,,About 330 EUR,,,"1,441,805 hits",
201,vivo Y50t,TRUE,TRUE,TRUE,FALSE,"2021, November 16","Available. Released 2021, November 16",162 x 76.6 x 8.5 mm (6.38 x 3.02 x 0.33 in),190 g (6.70 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.53 inches, 104.7 cm2 (~84.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",,,"Android 10, OriginOS",Qualcomm SM7125 Snapdragon 720G (8 nm),Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),Adreno 618,microSDXC,128GB 8GB RAM,"48 MP, f/1.8, 25mm (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps; gyro-EIS","8 MP, f/2.0, (wide)",HDR,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",No,No,"microUSB 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","4500 mAh, non-removable",18W wired,,"Black, Blue",V2023EA,,,About 190 EUR,,,"93,241 hits",
202,vivo Y15a,TRUE,TRUE,TRUE,FALSE,"2021, November 15","Available. Released 2021, November 15",164 x 75.2 x 8.3 mm (6.46 x 2.96 x 0.33 in),179 g (6.31 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.51 inches, 102.3 cm2 (~83.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,"Android 11, Funtouch 11.1",Mediatek MT6765 Helio P35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),64GB 4GB RAM,"13 MP, f/2.2, 27mm (wide), AF
2 MP, f/2.4, (depth)","LED flash, panorama",1080p@30fps,"8 MP, f/2.0",,1080p@30fps,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,FM radio,"microUSB 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable","10W wired
5W reverse wired",,"Wave Green, Mystic Blue",V2134,,,About 140 EUR,,,"413,532 hits",
203,vivo Y74s,TRUE,TRUE,TRUE,TRUE,"2021, November 22","Available. Released 2021, November 22",163.8 x 75 x 7.8 mm (6.45 x 2.95 x 0.31 in),175 g (6.17 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.58 inches, 104.3 cm2 (~84.9% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",,,"Android 11, OriginOS",Mediatek Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,256GB 8GB RAM,"50 MP, f/1.8, 26mm (wide), PDAF
2 MP, f/2.4, (macro)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","4100 mAh, non-removable","44W wired, 70% in 34 min (advertised)",,"Black, Aurora",V2009A,,,About 320 EUR,,,"63,291 hits",
204,vivo Y76s,TRUE,TRUE,TRUE,TRUE,"2021, November 10","Available. Released 2021, November 20",163.8 x 75 x 7.8 mm (6.45 x 2.95 x 0.31 in),175 g (6.17 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.58 inches, 104.3 cm2 (~84.9% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",,,"Android 11, OriginOS",Mediatek Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 26mm (wide), PDAF
2 MP, f/2.4, (macro)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","4100 mAh, non-removable","44W wired, 70% in 34 min (advertised)",,"Black, Aurora, Silver",V2156A,,,About 240 EUR,,,"135,103 hits",
205,vivo Y15s,TRUE,TRUE,TRUE,FALSE,"2021, November 09","Available. Released 2021, November 09",164 x 75.2 x 8.3 mm (6.46 x 2.96 x 0.33 in),179 g (6.31 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.51 inches, 102.3 cm2 (~83.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,"Android 11 (Go edition), Funtouch 11.1 - vivo 15sAndroid 12, Funtouch 12 - vivo 15c",Mediatek MT6765 Helio P35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","13 MP, f/2.2, 27mm (wide), AF
2 MP, f/2.4, (depth)","LED flash, panorama",1080p@30fps,"8 MP, f/2.0",,1080p@30fps,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,FM radio,"microUSB 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable","10W wired
5W reverse wired",,"Wave Green, Mystic Blue","V2120, V2147, V2139",,,About 120 EUR,,,"1,481,993 hits",
206,vivo Y71t,TRUE,TRUE,TRUE,TRUE,"2021, October 21","Available. Released 2021, November 01",160.6 x 73.9 x 7.7 or 7.8 mm,166.3 g or 167.9 g (5.86 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 430 nits (typ), 600 nits (HBM)","6.44 inches, 100.1 cm2 (~84.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,,"Android 11, OriginOS 1.0",Mediatek Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Unspecified,"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.0, (wide)",HDR,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","4000 mAh, non-removable","44W wired, 70% in 33 min (advertised)",,"Blue, Aurora",V2102A,,,About 240 EUR,,,"109,028 hits",
207,vivo iQOO Z5x,TRUE,TRUE,TRUE,TRUE,"2021, October 20","Available. Released 2021, November 01",164 x 75.3 x 8.5 mm (6.46 x 2.96 x 0.33 in),189 g (6.67 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz","6.58 inches, 104.3 cm2 (~84.5% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",,,"Android 11, OriginOS 1.0 for iQOO",Mediatek Dimensity 900 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 26mm (wide), PDAF
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS","8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","44W wired, 70% in 38 min (advertised)",,"Black, Orange, Silver",,,,About 220 EUR,,,"114,965 hits",
208,vivo T1x,TRUE,TRUE,TRUE,TRUE,"2021, October 20","Available. Released 2021, November 01",164 x 75.3 x 8.5 mm (6.46 x 2.96 x 0.33 in),189 g (6.67 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz","6.58 inches, 104.3 cm2 (~84.5% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",,,"Android 11, OriginOS",Mediatek Dimensity 900 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS","8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","44W wired, 70% in 38 min (advertised)",,"Black, Aurora, Silver",,,,About 230 EUR,,,"319,608 hits",
209,vivo T1,TRUE,TRUE,TRUE,TRUE,"2021, October 20","Available. Released 2021, November 01",164.7 x 76.7 x 8.5 mm (6.48 x 3.02 x 0.33 in),193 g (6.81 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz, HDR10, 650 nits (typ)","6.67 inches, 107.4 cm2 (~85.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 11, OriginOS",Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS","16 MP, f/2.5, (wide)",HDR,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive","GPS, GLONASS, GALILEO, BDS",No,No,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","44W wired, 70% in 38 min (advertised)",,"Black, Aurora",,,,About 300 EUR,,,"426,209 hits",
210,vivo Y3s (2021),TRUE,TRUE,TRUE,FALSE,"2021, October 18","Available. Released 2021, October 18",164.4 x 76.3 x 8.4 mm (6.47 x 3.00 x 0.33 in),190 g (6.70 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.51 inches, 102.3 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,"Android 11 (Go edition), Funtouch 11",Mediatek MT6765 Helio P35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, f/2.2, 27mm (wide), AF","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/1.8",,Unspecified,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,FM radio,"microUSB 2.0, OTG","Accelerometer, proximity, compass","5000 mAh, non-removable","10W wired
5W reverse wired",,"Starry Blue, Pearl White, Mint Green",V2044,,,About 110 EUR,,,"105,516 hits",
211,vivo S10e,TRUE,TRUE,TRUE,TRUE,"2021, October 18","Available. Released 2021, October 20",160.9 x 74.3 x 7.5 mm (6.33 x 2.93 x 0.30 in),175 g (6.17 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, HDR","6.44 inches, 100.1 cm2 (~83.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,,"Android 11, OriginOS 1.0",Mediatek Dimensity 900 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,No,"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, (wide), 1/2.8"", 0.8µm",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",No,No,"USB Type-C, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","4000 mAh, non-removable",44W wired,,"Black, White, Aurora",V2130A,,,About 320 EUR,,,"94,903 hits",
212,vivo Y20t,TRUE,TRUE,TRUE,FALSE,"2021, October 11","Available. Released 2021, October 11",164.4 x 76.3 x 8.4 mm (6.47 x 3.00 x 0.33 in),192 g (6.77 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.51 inches, 102.3 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,"Android 11, Funtouch 11.1",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),64GB 6GB RAM,"13 MP, f/2.2, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR",1080p@30fps,"8 MP, f/1.8, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, BDS, GALILEO",No,FM radio,"microUSB 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable",18W wired,,"Obsidian Black, Purist Blue",V2129,,,About 180 EUR,,,"267,288 hits",
213,vivo iQOO Z5,TRUE,TRUE,TRUE,TRUE,"2021, September 23","Available. Released 2021, September 28",164.7 x 76.7 x 8.5 mm (6.48 x 3.02 x 0.33 in),193 g (6.81 oz),"Glass front (Panda Glass), plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz, HDR10, 650 nits (typ)","6.67 inches, 107.4 cm2 (~85.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Panda Glass,,"Android 11, Funtouch 12 (International), OriginOS for iQOO 1.0 (China)",Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS","16 MP, f/2.5, (wide)",HDR,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive","GPS, GLONASS, GALILEO, BDS",No,No,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","44W wired, 50% in 26 min (advertised)",,"Arctic Dawn, Mystic Space, Cyber Grid, Aurora",V2148A,,,About 250 EUR,,,"737,441 hits",0
214,vivo Y21s,TRUE,TRUE,TRUE,FALSE,"2021, September 21","Available. Released 2021, September 21",164.3 x 76.1 x 8 mm (6.47 x 3.00 x 0.31 in),182 g (6.42 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.51 inches, 102.3 cm2 (~81.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,"Android 11, Funtouch 11.1",Mediatek MT6769V/CU Helio G80 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, 24mm (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)",LED flash,1080p@30fps,"8 MP, f/2.0, (wide)",HDR,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes (market/region dependent),FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable","18W wired
2.5W reverse wired",,"Midnight Blue, Pearl White",V2110,0.83 W/kg (head)     1.09 W/kg (body)     ,,,,,"888,448 hits",
215,vivo X70 Pro+,TRUE,TRUE,TRUE,TRUE,"2021, September 09","Available. Released 2021, September 17",164.5 x 75.2 x 8.9 mm (6.48 x 2.96 x 0.35 in),209 g / 213 g (7.37 oz),,"Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water resistant (up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 1000 nits (HBM), 1500 nits (peak)","6.78 inches, 111.4 cm2 (~90.1% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~517 ppi density)",,,"Android 11, Funtouch OS 12 (International), OriginOS 1.0 (China)",Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),Octa-core (1x3.0 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.6, (wide), 1/1.31"", 1.2µm, PDAF, Laser AF, OIS
8 MP, f/3.4, 125mm (periscope telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 5x optical zoom
12 MP, f/1.6, 50mm (telephoto), 1/2.93"", 1.22µm, PDAF, OIS, 2x optical zoom
48 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.0"", 0.8µm, AF, gimbal OIS","Zeiss optics, Zeiss T* lens coating, Pixel Shift, dual-LED dual-tone flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10+","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","4500 mAh, non-removable","55W wired
50W wireless
Reverse wireless
5W reverse wired",,"Black, Blue, Orange","V2145A, V2114",,,About 720 EUR,"
AnTuTu: 837833 (v9)
GeekBench: 3469 (v5.1)
GFXBench: 33fps (ES 3.1 onscreen)",Endurance rating 84h,"1,592,365 hits",4.5
216,vivo X70 Pro,TRUE,TRUE,TRUE,TRUE,"2021, September 09","Available. Released 2021, September 17",158.3 x 73.2 x 8 mm (6.23 x 2.88 x 0.31 in),183/184/185/186 g (6.46 oz),"Glass front (Schott Xensation Up), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 120Hz, HDR10+, 1300 nits (peak)","6.56 inches, 104.6 cm2 (~90.3% screen-to-body ratio)",1080 x 2376 pixels (~398 ppi density),Schott Xensation Up,,"Android 11, Funtouch OS 12 (International), OriginOS 1.0 (China)",Mediatek Dimensity 1200 (6 nm) - InternationalExynos 1080 (5 nm) - China,Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55) - InternationalOcta-core (1x2.8 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55) - China,Mali-G77 MC9 - InternationalMali-G78 MP10 - China,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, Laser AF, gimbal OIS
8 MP, f/3.4, 125mm (periscope telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 5x optical zoom
12 MP, f/2.0, 50mm (telephoto), 1/2.93"", 1.22µm, PDAF, 2x optical zoom
12 MP, f/2.2, 16mm, 116˚ (ultrawide), 1/3.1"", 1.12µm, AF","Zeiss optics, Zeiss T* lens coating, Pixel Shift, dual-LED dual-tone flash, HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10+","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS, NavIC",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","4450 mAh, non-removable","44W wired
5W reverse wired",,"Cosmic Black, Aurora Dawn, White","V2134A, V2105",,,About 1040 EUR,"
AnTuTu: 694499 (v9)
GeekBench: 2956 (v5.1)
GFXBench: 40fps (ES 3.1 onscreen)",Endurance rating 123h,"1,578,466 hits",4.2
